doi,filename
10.14359/2738,STDB-0100508401001-1987.pdf
10.14359/2749,STDB-0100508401002-1987.pdf
10.14359/2726,STDB-0100508401003-1987.pdf
10.14359/2785,STDB-0100508401004-1987.pdf
10.14359/2793,STDB-0100508401005-1987.pdf
10.14359/2800,STDB-0100508401006-1987.pdf
10.14359/2812,STDB-0100508401007-1987.pdf
10.14359/2767,STDB-0100508401008-1987.pdf
10.14359/2778,STDB-0100508401009-1987.pdf
10.14359/2813,STDB-0100508402001-1987.pdf
10.14359/2820,STDB-0100508402002-1987.pdf
10.14359/2827,STDB-0100508402003-1987.pdf
10.14359/2834,STDB-0100508402004-1987.pdf
10.14359/2787,STDB-0100508402005-1987.pdf
10.14359/2802,STDB-0100508402006-1987.pdf
10.14359/2841,STDB-0100508402007-1987.pdf
10.14359/2795,STDB-0100508402008-1987.pdf
10.14359/2847,STDB-0100508402009-1987.pdf
10.14359/2636,STDB-0100508403001-1987.pdf
10.14359/2691,STDB-0100508403002-1987.pdf
10.14359/2677,STDB-0100508403003-1987.pdf
10.14359/2518,STDB-0100508403004-1987.pdf
10.14359/2708,STDB-0100508403005-1987.pdf
10.14359/2664,STDB-0100508403006-1987.pdf
10.14359/2719,STDB-0100508403007-1987.pdf
10.14359/2629,STDB-0100508403008-1987.pdf
10.14359/2622,STDB-0100508403009-1987.pdf
10.14359/2643,STDB-0100508403010-1987.pdf
10.14359/2654,STDB-0100508403011-1987.pdf
10.14359/1659,STDB-0100508404001-1987.pdf
10.14359/1660,STDB-0100508404002-1987.pdf
10.14359/1661,STDB-0100508404003-1987.pdf
10.14359/1662,STDB-0100508404004-1987.pdf
10.14359/1663,STDB-0100508404005-1987.pdf
10.14359/1641,STDB-0100508404006-1987.pdf
10.14359/1655,STDB-0100508404007-1987.pdf
10.14359/1657,STDB-0100508404008-1987.pdf
10.14359/1658,STDB-0100508404009-1987.pdf
10.14359/1656,STDB-0100508405001-1987.pdf
10.14359/15164,STDB-0100508405002-1987.pdf
10.14359/1648,STDB-0100508405003-1987.pdf
10.14359/1649,STDB-0100508405004-1987.pdf
10.14359/1650,STDB-0100508405005-1987.pdf
10.14359/1651,STDB-0100508405006-1987.pdf
10.14359/1653,STDB-0100508405007-1987.pdf
10.14359/1683,STDB-0100508405008-1987.pdf
10.14359/9224,STDB-0100508405009-1987.pdf
10.14359/2801,STDB-0100508406001-1987.pdf
10.14359/2786,STDB-0100508406002-1987.pdf
10.14359/2779,STDB-0100508406003-1987.pdf
10.14359/2768,STDB-0100508406004-1987.pdf
10.14359/2739,STDB-0100508406005-1987.pdf
10.14359/2794,STDB-0100508406006-1987.pdf
10.14359/2727,STDB-0100508406007-1987.pdf
10.14359/2750,STDB-0100508406008-1987.pdf
10.14359/9225,STDB-0100508501001-1988.pdf
10.14359/2950,STDB-0100508501002-1988.pdf
10.14359/2995,STDB-0100508501003-1988.pdf
10.14359/3157,STDB-0100508501004-1988.pdf
10.14359/3161,STDB-0100508501005-1988.pdf
10.14359/2992,STDB-0100508501006-1988.pdf
10.14359/2971,STDB-0100508501007-1988.pdf
10.14359/2975,STDB-0100508501008-1988.pdf
10.14359/2981,STDB-0100508501009-1988.pdf
10.14359/2986,STDB-0100508501010-1988.pdf
10.14359/2989,STDB-0100508501011-1988.pdf
10.14359/2944,STDB-0100508501012-1988.pdf
10.14359/2958,STDB-0100508501013-1988.pdf
10.14359/2965,STDB-0100508501014-1988.pdf
10.14359/2760,STDB-0100508502001-1988.pdf
10.14359/2730,STDB-0100508502002-1988.pdf
10.14359/2715,STDB-0100508502003-1988.pdf
10.14359/2704,STDB-0100508502004-1988.pdf
10.14359/2772,STDB-0100508502005-1988.pdf
10.14359/2754,STDB-0100508502006-1988.pdf
10.14359/2673,STDB-0100508502007-1988.pdf
10.14359/2743,STDB-0100508502008-1988.pdf
10.14359/2687,STDB-0100508502009-1988.pdf
10.14359/2698,STDB-0100508502010-1988.pdf
10.14359/3044,STDB-0100508503001-1988.pdf
10.14359/2623,STDB-0100508503002-1988.pdf
10.14359/2613,STDB-0100508503003-1988.pdf
10.14359/3527,STDB-0100508503004-1988.pdf
10.14359/2609,STDB-0100508503005-1988.pdf
10.14359/2515,STDB-0100508503006-1988.pdf
10.14359/2630,STDB-0100508503007-1988.pdf
10.14359/2637,STDB-0100508503008-1988.pdf
10.14359/2644,STDB-0100508503009-1988.pdf
10.14359/2646,STDB-0100508504001-1988.pdf
10.14359/2656,STDB-0100508504002-1988.pdf
10.14359/2699,STDB-0100508504003-1988.pdf
10.14359/2666,STDB-0100508504004-1988.pdf
10.14359/2517,STDB-0100508504005-1988.pdf
10.14359/2746,STDB-0100508504006-1988.pdf
10.14359/2757,STDB-0100508504007-1988.pdf
10.14359/2721,STDB-0100508504008-1988.pdf
10.14359/2711,STDB-0100508504009-1988.pdf
10.14359/2734,STDB-0100508504010-1988.pdf
10.14359/2678,STDB-0100508504011-1988.pdf
10.14359/2693,STDB-0100508504012-1988.pdf
10.14359/2790,STDB-0100508505001-1988.pdf
10.14359/9226,STDB-0100508505002-1988.pdf
10.14359/3135,STDB-0100508505003-1988.pdf
10.14359/3140,STDB-0100508505004-1988.pdf
10.14359/3144,STDB-0100508505005-1988.pdf
10.14359/2775,STDB-0100508505006-1988.pdf
10.14359/2782,STDB-0100508505007-1988.pdf
10.14359/2740,STDB-0100508506001-1988.pdf
10.14359/2714,STDB-0100508506002-1988.pdf
10.14359/2728,STDB-0100508506003-1988.pdf
10.14359/2751,STDB-0100508506004-1988.pdf
10.14359/3118,STDB-0100508506005-1988.pdf
10.14359/2702,STDB-0100508506006-1988.pdf
10.14359/2769,STDB-0100508506007-1988.pdf
10.14359/2617,STDB-0100508601001-1989.pdf
10.14359/2620,STDB-0100508601002-1989.pdf
10.14359/2627,STDB-0100508601003-1989.pdf
10.14359/2607,STDB-0100508601004-1989.pdf
10.14359/2611,STDB-0100508601005-1989.pdf
10.14359/2634,STDB-0100508601006-1989.pdf
10.14359/2641,STDB-0100508601007-1989.pdf
10.14359/2650,STDB-0100508601008-1989.pdf
10.14359/2661,STDB-0100508601009-1989.pdf
10.14359/2672,STDB-0100508601010-1989.pdf
10.14359/2686,STDB-0100508601011-1989.pdf
10.14359/2697,STDB-0100508601012-1989.pdf
10.14359/2674,STDB-0100508602001-1989.pdf
10.14359/2621,STDB-0100508602002-1989.pdf
10.14359/2628,STDB-0100508602003-1989.pdf
10.14359/2681,STDB-0100508602004-1989.pdf
10.14359/2688,STDB-0100508602005-1989.pdf
10.14359/2705,STDB-0100508602006-1989.pdf
10.14359/9227,STDB-0100508602007-1989.pdf
10.14359/2716,STDB-0100508602008-1989.pdf
10.14359/2635,STDB-0100508602009-1989.pdf
10.14359/2652,STDB-0100508602010-1989.pdf
10.14359/2662,STDB-0100508602011-1989.pdf
10.14359/2731,STDB-0100508602012-1989.pdf
10.14359/2918,STDB-0100508603001-1989.pdf
10.14359/2914,STDB-0100508603002-1989.pdf
10.14359/2873,STDB-0100508603003-1989.pdf
10.14359/2883,STDB-0100508603004-1989.pdf
10.14359/2889,STDB-0100508603005-1989.pdf
10.14359/2895,STDB-0100508603006-1989.pdf
10.14359/2904,STDB-0100508603007-1989.pdf
10.14359/2972,STDB-0100508604001-1989.pdf
10.14359/2977,STDB-0100508604002-1989.pdf
10.14359/2982,STDB-0100508604003-1989.pdf
10.14359/2877,STDB-0100508604004-1989.pdf
10.14359/2879,STDB-0100508604005-1989.pdf
10.14359/9228,STDB-0100508604006-1989.pdf
10.14359/9229,STDB-0100508604007-1989.pdf
10.14359/2920,STDB-0100508604008-1989.pdf
10.14359/2927,STDB-0100508604009-1989.pdf
10.14359/2954,STDB-0100508604010-1989.pdf
10.14359/2961,STDB-0100508604011-1989.pdf
10.14359/2967,STDB-0100508604012-1989.pdf
10.14359/2890,STDB-0100508604013-1989.pdf
10.14359/2896,STDB-0100508604014-1989.pdf
10.14359/2906,STDB-0100508604015-1989.pdf
10.14359/3250,STDB-0100508605001-1989.pdf
10.14359/3268,STDB-0100508605002-1989.pdf
10.14359/3283,STDB-0100508605003-1989.pdf
10.14359/3288,STDB-0100508605004-1989.pdf
10.14359/3291,STDB-0100508605005-1989.pdf
10.14359/3292,STDB-0100508605006-1989.pdf
10.14359/3294,STDB-0100508605007-1989.pdf
10.14359/2668,STDB-0100508605008-1989.pdf
10.14359/3005,STDB-0100508605009-1989.pdf
10.14359/3008,STDB-0100508605010-1989.pdf
10.14359/3010,STDB-0100508605011-1989.pdf
10.14359/3013,STDB-0100508605012-1989.pdf
10.14359/2854,STDB-0100508605013-1989.pdf
10.14359/3278,STDB-0100508605014-1989.pdf
10.14359/2741,STDB-0100508606001-1989.pdf
10.14359/9230,STDB-0100508606002-1989.pdf
10.14359/9231,STDB-0100508606003-1989.pdf
10.14359/2752,STDB-0100508606004-1989.pdf
10.14359/3177,STDB-0100508606005-1989.pdf
10.14359/2703,STDB-0100508606006-1989.pdf
10.14359/3192,STDB-0100508606007-1989.pdf
10.14359/2649,STDB-0100508606008-1989.pdf
10.14359/2660,STDB-0100508606009-1989.pdf
10.14359/2671,STDB-0100508606010-1989.pdf
10.14359/2685,STDB-0100508606011-1989.pdf
10.14359/2696,STDB-0100508606012-1989.pdf
10.14359/2729,STDB-0100508606013-1989.pdf
10.14359/2770,STDB-0100508606014-1989.pdf
10.14359/2900,STDB-0100508701001-1990.pdf
10.14359/2903,STDB-0100508701002-1990.pdf
