doi,filename
10.5459/bnzsee.1.1.i-ii,STDB-0104600101001-1968.pdf
10.5459/bnzsee.1.1.iii-iv,STDB-0104600101002-1968.pdf
10.5459/bnzsee.1.1.5-13,STDB-0104600101003-1968.pdf
10.5459/bnzsee.1.1.14-15,STDB-0104600101004-1968.pdf
10.5459/bnzsee.1.1.16-22,STDB-0104600101005-1968.pdf
10.5459/bnzsee.1.1.23-29,STDB-0104600101006-1968.pdf
10.5459/bnzsee.1.2.2-3,STDB-0104600102001-1968.pdf
10.5459/bnzsee.1.2.4-11,STDB-0104600102002-1968.pdf
10.5459/bnzsee.1.2.12-21,STDB-0104600102003-1968.pdf
10.5459/bnzsee.1.2.21,STDB-0104600102004-1968.pdf
10.5459/bnzsee.1.2.22-48,STDB-0104600102005-1968.pdf
10.5459/bnzsee.1.2.49-60,STDB-0104600102006-1968.pdf
10.5459/bnzsee.1.2.61-71,STDB-0104600102007-1968.pdf
10.5459/bnzsee.1.2.72-91,STDB-0104600102008-1968.pdf
10.5459/bnzsee.1.2.92-97,STDB-0104600102009-1968.pdf
10.5459/bnzsee.1.2.97,STDB-0104600102010-1968.pdf
10.5459/bnzsee.1.2.98-101,STDB-0104600102011-1968.pdf
10.5459/bnzsee.1.2.102-112,STDB-0104600102012-1968.pdf
10.5459/bnzsee.1.2.113-115,STDB-0104600102013-1968.pdf
10.5459/bnzsee.1.2.116-119,STDB-0104600102014-1968.pdf
10.5459/bnzsee.2.2.9-18,STDB-0104600201001-1969.pdf
10.5459/bnzsee.2.1.19-23,STDB-0104600201002-1969.pdf
10.5459/bnzsee.2.1.24-26,STDB-0104600201003-1969.pdf
10.5459/bnzsee.2.1.27-31,STDB-0104600201004-1969.pdf
10.5459/bnzsee.2.1.32-36,STDB-0104600201005-1969.pdf
10.5459/bnzsee.2.1.37-38,STDB-0104600201006-1969.pdf
10.5459/bnzsee.2.1.39-44,STDB-0104600201007-1969.pdf
10.5459/bnzsee.2.1.45-46,STDB-0104600201008-1969.pdf
10.5459/bnzsee.2.1.47-58,STDB-0104600201009-1969.pdf
10.5459/bnzsee.2.1.59-61,STDB-0104600201010-1969.pdf
10.5459/bnzsee.2.1.63-64,STDB-0104600201011-1969.pdf
10.5459/bnzsee.2.1.65-72,STDB-0104600201012-1969.pdf
10.5459/bnzsee.2.1.73-77,STDB-0104600201013-1969.pdf
10.5459/bnzsee.2.1.77-84,STDB-0104600201014-1969.pdf
10.5459/bnzsee.2.1.85-91,STDB-0104600201015-1969.pdf
10.5459/bnzsee.2.1.92-95,STDB-0104600201016-1969.pdf
10.5459/bnzsee.2.1.96-98,STDB-0104600201017-1969.pdf
10.5459/bnzsee.2.1.99-110,STDB-0104600201018-1969.pdf
10.5459/bnzsee.2.1.111-112,STDB-0104600201019-1969.pdf
10.5459/bnzsee.2.1.113-115,STDB-0104600201020-1969.pdf
10.5459/bnzsee.2.1.116-118,STDB-0104600201021-1969.pdf
10.5459/bnzsee.2.1.119-121,STDB-0104600201022-1969.pdf
10.5459/bnzsee.2.1.122-125,STDB-0104600201023-1969.pdf
10.5459/bnzsee.2.1.126-127,STDB-0104600201024-1969.pdf
10.5459/bnzsee.2.1.128-129,STDB-0104600201025-1969.pdf
10.5459/bnzsee.2.1.130-134,STDB-0104600201026-1969.pdf
10.5459/bnzsee.2.1.135-138,STDB-0104600201027-1969.pdf
10.5459/bnzsee.2.1.139-142,STDB-0104600201028-1969.pdf
10.5459/bnzsee.2.1.143-147,STDB-0104600201029-1969.pdf
10.5459/bnzsee.2.1.147,STDB-0104600201030-1969.pdf
10.5459/bnzsee.2.1.148,STDB-0104600201031-1969.pdf
10.5459/bnzsee.2.2.2-8,STDB-0104600202001-1969.pdf
10.5459/bnzsee.2.2.149-151,STDB-0104600202002-1969.pdf
10.5459/bnzsee.2.2.154-170,STDB-0104600202003-1969.pdf
10.5459/bnzsee.2.2.171-175,STDB-0104600202004-1969.pdf
10.5459/bnzsee.2.2.176-185,STDB-0104600202005-1969.pdf
10.5459/bnzsee.2.2.186-192,STDB-0104600202006-1969.pdf
10.5459/bnzsee.2.2.193-198,STDB-0104600202007-1969.pdf
10.5459/bnzsee.2.3.200-201,STDB-0104600203001-1969.pdf
10.5459/bnzsee.2.3.202-216,STDB-0104600203002-1969.pdf
10.5459/bnzsee.2.3.217-250,STDB-0104600203003-1969.pdf
10.5459/bnzsee.2.3.251-266,STDB-0104600203004-1969.pdf
10.5459/bnzsee.2.3.267-269,STDB-0104600203005-1969.pdf
10.5459/bnzsee.2.3.270,STDB-0104600203006-1969.pdf
10.5459/bnzsee.2.3.271-276,STDB-0104600203007-1969.pdf
10.5459/bnzsee.2.3.277,STDB-0104600203008-1969.pdf
10.5459/bnzsee.2.3.278-281,STDB-0104600203009-1969.pdf
10.5459/bnzsee.2.3.282-283,STDB-0104600203010-1969.pdf
10.5459/bnzsee.2.3.284-288,STDB-0104600203011-1969.pdf
10.5459/bnzsee.2.3.289-294,STDB-0104600203012-1969.pdf
10.5459/bnzsee.2.3.295-307,STDB-0104600203013-1969.pdf
10.5459/bnzsee.2.3.308-328,STDB-0104600203014-1969.pdf
10.5459/bnzsee.2.3.329-336,STDB-0104600203015-1969.pdf
10.5459/bnzsee.2.4.347-356,STDB-0104600204001-1969.pdf
10.5459/bnzsee.2.4.357-370,STDB-0104600204002-1969.pdf
10.5459/bnzsee.2.4.371-390,STDB-0104600204003-1969.pdf
10.5459/bnzsee.2.4.391-419,STDB-0104600204004-1969.pdf
10.5459/bnzsee.2.4.420-442,STDB-0104600204005-1969.pdf
10.5459/bnzsee.2.4.443-458,STDB-0104600204006-1969.pdf
10.5459/bnzsee.2.4.459-469,STDB-0104600204007-1969.pdf
10.5459/bnzsee.2.4.470-471,STDB-0104600204008-1969.pdf
10.5459/bnzsee.2.4.472-473,STDB-0104600204009-1969.pdf
10.5459/bnzsee.2.4.474-481,STDB-0104600204010-1969.pdf
10.5459/bnzsee.2.4.482,STDB-0104600204011-1969.pdf
10.5459/bnzsee.2.4.483-489,STDB-0104600204012-1969.pdf
10.5459/bnzsee.2.4.490-493,STDB-0104600204013-1969.pdf
10.5459/bnzsee.3.1.1-2,STDB-0104600301001-1970.pdf
10.5459/bnzsee.3.1.3-23,STDB-0104600301002-1970.pdf
10.5459/bnzsee.3.1.24-25,STDB-0104600301003-1970.pdf
10.5459/bnzsee.3.1.26,STDB-0104600301004-1970.pdf
10.5459/bnzsee.3.1.27-35,STDB-0104600301005-1970.pdf
10.5459/bnzsee.3.1.36-37,STDB-0104600301006-1970.pdf
10.5459/bnzsee.3.1.38-50,STDB-0104600301007-1970.pdf
10.5459/bnzsee.3.2.51-59,STDB-0104600302001-1970.pdf
10.5459/bnzsee.3.2.60-83,STDB-0104600302002-1970.pdf
10.5459/bnzsee.3.2.84-88,STDB-0104600302003-1970.pdf
10.5459/bnzsee.3.2.89,STDB-0104600302004-1970.pdf
10.5459/bnzsee.3.2.90,STDB-0104600302005-1970.pdf
10.5459/bnzsee.3.2.91-93,STDB-0104600302006-1970.pdf
10.5459/bnzsee.3.3.95-106,STDB-0104600303001-1970.pdf
10.5459/bnzsee.3.3.107,STDB-0104600303002-1970.pdf
10.5459/bnzsee.3.3.108-119,STDB-0104600303003-1970.pdf
10.5459/bnzsee.3.3.120-125,STDB-0104600303004-1970.pdf
10.5459/bnzsee.3.3.126-127,STDB-0104600303005-1970.pdf
10.5459/bnzsee.3.4.131-142,STDB-0104600304001-1970.pdf
10.5459/bnzsee.3.4.143-147,STDB-0104600304002-1970.pdf
10.5459/bnzsee.3.4.148-162,STDB-0104600304003-1970.pdf
10.5459/bnzsee.3.4.163-172,STDB-0104600304004-1970.pdf
10.5459/bnzsee.3.4.173-178,STDB-0104600304005-1970.pdf
10.5459/bnzsee.3.4.179-180,STDB-0104600304006-1970.pdf
10.5459/bnzsee.3.4.181,STDB-0104600304007-1970.pdf
10.5459/bnzsee.3.4.182,STDB-0104600304008-1970.pdf
10.5459/bnzsee.3.4.183-184,STDB-0104600304009-1970.pdf
10.5459/bnzsee.4.1.1,STDB-0104600401001-1971.pdf
10.5459/bnzsee.4.1.2-14,STDB-0104600401002-1971.pdf
10.5459/bnzsee.4.1.15-30,STDB-0104600401003-1971.pdf
10.5459/bnzsee.4.1.31-42,STDB-0104600401004-1971.pdf
10.5459/bnzsee.4.1.43-50,STDB-0104600401005-1971.pdf
10.5459/bnzsee.4.1.51-72,STDB-0104600401006-1971.pdf
10.5459/bnzsee.4.1.73-93,STDB-0104600401007-1971.pdf
10.5459/bnzsee.4.1.94-107,STDB-0104600401008-1971.pdf
10.5459/bnzsee.4.1.108-125,STDB-0104600401009-1971.pdf
10.5459/bnzsee.4.1.126-144,STDB-0104600401010-1971.pdf
10.5459/bnzsee.4.1.145-170,STDB-0104600401011-1971.pdf
10.5459/bnzsee.4.1.171-172,STDB-0104600401012-1971.pdf
10.5459/bnzsee.4.2.176-204,STDB-0104600402001-1971.pdf
10.5459/bnzsee.4.2.205-221,STDB-0104600402002-1971.pdf
10.5459/bnzsee.4.2.222-233,STDB-0104600402003-1971.pdf
10.5459/bnzsee.4.2.234-242,STDB-0104600402004-1971.pdf
10.5459/bnzsee.4.2.243-257,STDB-0104600402005-1971.pdf
10.5459/bnzsee.4.2.258-269,STDB-0104600402006-1971.pdf
10.5459/bnzsee.4.2.270-284,STDB-0104600402007-1971.pdf
10.5459/bnzsee.4.2.285-293,STDB-0104600402008-1971.pdf
10.5459/bnzsee.4.2.294-300,STDB-0104600402009-1971.pdf
10.5459/bnzsee.4.2.301-315,STDB-0104600402010-1971.pdf
10.5459/bnzsee.4.2.316-330,STDB-0104600402011-1971.pdf
10.5459/bnzsee.4.2.331-334,STDB-0104600402012-1971.pdf
10.5459/bnzsee.4.3.335-346,STDB-0104600403001-1971.pdf
10.5459/bnzsee.4.3.347-376,STDB-0104600403002-1971.pdf
10.5459/bnzsee.4.3.377-396,STDB-0104600403003-1971.pdf
10.5459/bnzsee.4.3.397-401,STDB-0104600403004-1971.pdf
10.5459/bnzsee.5.1.1-13,STDB-0104600501001-1972.pdf
10.5459/bnzsee.5.1.14-35,STDB-0104600501002-1972.pdf
10.5459/bnzsee.5.1.36,STDB-0104600501003-1972.pdf
10.5459/bnzsee.5.2.37-46,STDB-0104600502001-1972.pdf
10.5459/bnzsee.5.2.47-50,STDB-0104600502002-1972.pdf
10.5459/bnzsee.5.2.51,STDB-0104600502003-1972.pdf
10.5459/bnzsee.5.2.52-53,STDB-0104600502004-1972.pdf
10.5459/bnzsee.5.2.54-58,STDB-0104600502005-1972.pdf
10.5459/bnzsee.5.3.i,STDB-0104600503001-1972.pdf
10.5459/bnzsee.5.3.63-88,STDB-0104600503002-1972.pdf
10.5459/bnzsee.5.3.89-105,STDB-0104600503003-1972.pdf
10.5459/bnzsee.5.3.106-107,STDB-0104600503004-1972.pdf
10.5459/bnzsee.5.3.108-109,STDB-0104600503005-1972.pdf
10.5459/bnzsee.5.4.i,STDB-0104600504001-1972.pdf
10.5459/bnzsee.5.4.113-127,STDB-0104600504002-1972.pdf
10.5459/bnzsee.5.4.128-132,STDB-0104600504003-1972.pdf
10.5459/bnzsee.5.4.133-142,STDB-0104600504004-1972.pdf
10.5459/bnzsee.5.4.143-155,STDB-0104600504005-1972.pdf
10.5459/bnzsee.5.4.156,STDB-0104600504006-1972.pdf
10.5459/bnzsee.6.1.1,STDB-0104600601001-1973.pdf
10.5459/bnzsee.6.1.2-21,STDB-0104600601002-1973.pdf
10.5459/bnzsee.6.1.22-45,STDB-0104600601003-1973.pdf
10.5459/bnzsee.6.1.46-47,STDB-0104600601004-1973.pdf
N/A282,STDB-0104600601005-1973.pdf
10.5459/bnzsee.6.1.48-49,STDB-0104600601006-1973.pdf
10.5459/bnzsee.6.2.52-70,STDB-0104600602001-1973.pdf
10.5459/bnzsee.6.2.71-86,STDB-0104600602002-1973.pdf
10.5459/bnzsee.6.2.87-92,STDB-0104600602003-1973.pdf
10.5459/bnzsee.6.3.95,STDB-0104600603001-1973.pdf
10.5459/bnzsee.6.3.96-109,STDB-0104600603002-1973.pdf
10.5459/bnzsee.6.3.110-121,STDB-0104600603003-1973.pdf
10.5459/bnzsee.6.3.122-127,STDB-0104600603004-1973.pdf
10.5459/bnzsee.6.3.128-155,STDB-0104600603005-1973.pdf
10.5459/bnzsee.6.4.158-169,STDB-0104600604001-1973.pdf
N/A267,STDB-0104600604002-1973.pdf
10.5459/bnzsee.6.4.178-207,STDB-0104600604003-1973.pdf
10.5459/bnzsee.7.1.2-13,STDB-0104600701001-1974.pdf
10.5459/bnzsee.7.1.14-26,STDB-0104600701002-1974.pdf
10.5459/bnzsee.7.1.27-47,STDB-0104600701003-1974.pdf
10.5459/bnzsee.7.1.48,STDB-0104600701004-1974.pdf
10.5459/bnzsee.7.1.49,STDB-0104600701005-1974.pdf
10.5459/bnzsee.7.1.49-50,STDB-0104600701006-1974.pdf
10.5459/bnzsee.7.1.50-51,STDB-0104600701007-1974.pdf
10.5459/bnzsee.7.2.52-53,STDB-0104600702001-1974.pdf
10.5459/bnzsee.7.2.53-61,STDB-0104600702002-1974.pdf
10.5459/bnzsee.7.2.62-77,STDB-0104600702003-1974.pdf
10.5459/bnzsee.7.2.78-80,STDB-0104600702004-1974.pdf
10.5459/bnzsee.7.2.81-84,STDB-0104600702005-1974.pdf
10.5459/bnzsee.7.2.85-87,STDB-0104600702006-1974.pdf
10.5459/bnzsee.7.2.88-89,STDB-0104600702007-1974.pdf
10.5459/bnzsee.7.2.90-91,STDB-0104600702008-1974.pdf
10.5459/bnzsee.7.3.95-104,STDB-0104600703001-1974.pdf
10.5459/bnzsee.7.3.105-114,STDB-0104600703002-1974.pdf
10.5459/bnzsee.7.3.115-122,STDB-0104600703003-1974.pdf
10.5459/bnzsee.7.3.123-129,STDB-0104600703004-1974.pdf
10.5459/bnzsee.7.3.130-143,STDB-0104600703005-1974.pdf
10.5459/bnzsee.7.3.144-146,STDB-0104600703006-1974.pdf
10.5459/bnzsee.7.3.147-148,STDB-0104600703007-1974.pdf
10.5459/bnzsee.7.4.149-166,STDB-0104600704001-1974.pdf
