doi,filename
10.1177/136943329700100103,STDB-0101900101001-1997.pdf
10.1177/136943329700100108,STDB-0101900101002-1997.pdf
10.1177/136943329700100104,STDB-0101900101003-1997.pdf
10.1177/136943329700100101,STDB-0101900101004-1997.pdf
10.1177/136943329700100106,STDB-0101900101005-1997.pdf
10.1177/136943329700100107,STDB-0101900101006-1997.pdf
10.1177/136943329700100105,STDB-0101900101007-1997.pdf
10.1177/136943329700100102,STDB-0101900101008-1997.pdf
10.1177/136943329700100110,STDB-0101900101009-1997.pdf
10.1177/136943329700100109,STDB-0101900101010-1997.pdf
10.1177/136943329700100207,STDB-0101900102001-1997.pdf
10.1177/136943329700100205,STDB-0101900102002-1997.pdf
10.1177/136943329700100201,STDB-0101900102003-1997.pdf
10.1177/136943329700100203,STDB-0101900102004-1997.pdf
10.1177/136943329700100206,STDB-0101900102005-1997.pdf
10.1177/136943329700100208,STDB-0101900102006-1997.pdf
10.1177/136943329700100202,STDB-0101900102007-1997.pdf
10.1177/136943329700100204,STDB-0101900102008-1997.pdf
10.1177/136943329800100304,STDB-0101900103001-1998.pdf
10.1177/136943329800100306,STDB-0101900103002-1998.pdf
10.1177/136943329800100305,STDB-0101900103003-1998.pdf
10.1177/136943329800100302,STDB-0101900103004-1998.pdf
10.1177/136943329800100303,STDB-0101900103005-1998.pdf
10.1177/136943329800100301,STDB-0101900103006-1998.pdf
10.1177/136943329800100406,STDB-0101900104001-1998.pdf
10.1177/136943329800100407,STDB-0101900104002-1998.pdf
10.1177/136943329800100405,STDB-0101900104003-1998.pdf
10.1177/136943329800100404,STDB-0101900104004-1998.pdf
10.1177/136943329800100408,STDB-0101900104005-1998.pdf
10.1177/136943329800100401,STDB-0101900104006-1998.pdf
10.1177/136943329800200104,STDB-0101900201001-1998.pdf
10.1177/136943329800200102,STDB-0101900201002-1998.pdf
10.1177/136943329800200106,STDB-0101900201003-1998.pdf
10.1177/136943329800200105,STDB-0101900201004-1998.pdf
10.1177/136943329800200107,STDB-0101900201005-1998.pdf
10.1177/136943329800200101,STDB-0101900201006-1998.pdf
10.1177/136943329800200108,STDB-0101900201007-1998.pdf
10.1177/136943329800200109,STDB-0101900201008-1998.pdf
10.1177/136943329800200103,STDB-0101900201009-1998.pdf
10.1177/136943329800200110,STDB-0101900201010-1998.pdf
10.1177/136943329900200205,STDB-0101900202001-1999.pdf
10.1177/136943329900200206,STDB-0101900202002-1999.pdf
10.1177/136943329900200203,STDB-0101900202003-1999.pdf
10.1177/136943329900200202,STDB-0101900202004-1999.pdf
10.1177/136943329900200204,STDB-0101900202005-1999.pdf
10.1177/136943329900200201,STDB-0101900202006-1999.pdf
10.1177/136943329900200208,STDB-0101900202007-1999.pdf
10.1177/136943329900200207,STDB-0101900202008-1999.pdf
10.1177/136943329900200306,STDB-0101900203001-1999.pdf
10.1177/136943329900200301,STDB-0101900203002-1999.pdf
10.1177/136943329900200303,STDB-0101900203003-1999.pdf
10.1177/136943329900200305,STDB-0101900203004-1999.pdf
10.1177/136943329900200304,STDB-0101900203005-1999.pdf
10.1177/136943329900200302,STDB-0101900203006-1999.pdf
10.1177/136943329900200307,STDB-0101900203007-1999.pdf
10.1177/136943329900200401,STDB-0101900204001-1999.pdf
10.1177/136943329900200404,STDB-0101900204002-1999.pdf
10.1177/136943329900200403,STDB-0101900204003-1999.pdf
10.1177/136943329900200408,STDB-0101900204004-1999.pdf
10.1177/136943329900200406,STDB-0101900204005-1999.pdf
10.1177/136943329900200405,STDB-0101900204006-1999.pdf
10.1177/136943329900200402,STDB-0101900204007-1999.pdf
10.1177/136943329900200407,STDB-0101900204008-1999.pdf
10.1260/1369433001501950,STDB-0101900301001-2000.pdf
10.1260/1369433001501978,STDB-0101900301002-2000.pdf
10.1260/1369433001502021,STDB-0101900301003-2000.pdf
10.1260/1369433001502012,STDB-0101900301004-2000.pdf
10.1260/1369433001501987,STDB-0101900301005-2000.pdf
10.1260/1369433001501996,STDB-0101900301006-2000.pdf
10.1260/1369433001501941,STDB-0101900301007-2000.pdf
10.1260/1369433001502030,STDB-0101900301008-2000.pdf
10.1260/1369433001502003,STDB-0101900301009-2000.pdf
10.1260/1369433001501969,STDB-0101900301010-2000.pdf
10.1260/1369433001502049,STDB-0101900301011-2000.pdf
10.1260/1369433001502111,STDB-0101900302001-2000.pdf
10.1260/1369433001502076,STDB-0101900302002-2000.pdf
