doi,filename
10.1193/1.1585257,STDB-0101800101001-1984.pdf
10.1193/1.1585259,STDB-0101800101002-1984.pdf
10.1193/1.1585262,STDB-0101800101003-1984.pdf
10.1193/1.1585261,STDB-0101800101004-1984.pdf
10.1193/1.1585256,STDB-0101800101005-1984.pdf
10.1193/1.1585258,STDB-0101800101006-1984.pdf
10.1193/1.1585254,STDB-0101800101007-1984.pdf
10.1193/1.1585255,STDB-0101800101008-1984.pdf
10.1193/1.1585253,STDB-0101800101009-1984.pdf
10.1193/1.1585260,STDB-0101800101010-1984.pdf
10.1193/1.1585270,STDB-0101800102001-1985.pdf
10.1193/1.1585268,STDB-0101800102002-1985.pdf
10.1193/1.1585265,STDB-0101800102003-1985.pdf
10.1193/1.1585263,STDB-0101800102004-1985.pdf
10.1193/1.1585267,STDB-0101800102005-1985.pdf
10.1193/1.1585264,STDB-0101800102006-1985.pdf
10.1193/1.1585266,STDB-0101800102007-1985.pdf
10.1193/1.1585269,STDB-0101800102008-1985.pdf
10.1193/1.1585275,STDB-0101800103001-1985.pdf
10.1193/1.1585273,STDB-0101800103002-1985.pdf
10.1193/1.1585274,STDB-0101800103003-1985.pdf
10.1193/1.1585285,STDB-0101800103004-1985.pdf
10.1193/1.1585277,STDB-0101800103005-1985.pdf
10.1193/1.1585281,STDB-0101800103006-1985.pdf
10.1193/1.1585284,STDB-0101800103007-1985.pdf
10.1193/1.1585278,STDB-0101800103008-1985.pdf
10.1193/1.1585279,STDB-0101800103009-1985.pdf
10.1193/1.1585286,STDB-0101800103010-1985.pdf
10.1193/1.1585282,STDB-0101800103011-1985.pdf
10.1193/1.1585272,STDB-0101800103012-1985.pdf
10.1193/1.1585280,STDB-0101800103013-1985.pdf
10.1193/1.1585276,STDB-0101800103014-1985.pdf
10.1193/1.1585283,STDB-0101800103015-1985.pdf
10.1193/1.1585271,STDB-0101800103016-1985.pdf
10.1193/1.1585287,STDB-0101800103017-1985.pdf
10.1193/1.1585292,STDB-0101800104001-1985.pdf
10.1193/1.1585295,STDB-0101800104002-1985.pdf
10.1193/1.1585291,STDB-0101800104003-1985.pdf
10.1193/1.1585290,STDB-0101800104004-1985.pdf
10.1193/1.1585289,STDB-0101800104005-1985.pdf
10.1193/1.1585294,STDB-0101800104006-1985.pdf
10.1193/1.1585293,STDB-0101800104007-1985.pdf
10.1193/1.1585296,STDB-0101800104008-1985.pdf
10.1193/1.1585307,STDB-0101800201001-1985.pdf
10.1193/1.1585310,STDB-0101800201002-1985.pdf
10.1193/1.1585308,STDB-0101800201003-1985.pdf
10.1193/1.1585302,STDB-0101800201004-1985.pdf
10.1193/1.1585304,STDB-0101800201005-1985.pdf
10.1193/1.1585300,STDB-0101800201006-1985.pdf
10.1193/1.1585297,STDB-0101800201007-1985.pdf
10.1193/1.1585309,STDB-0101800201008-1985.pdf
10.1193/1.1585299,STDB-0101800201009-1985.pdf
10.1193/1.1585301,STDB-0101800201010-1985.pdf
10.1193/1.1585298,STDB-0101800201011-1985.pdf
10.1193/1.1585306,STDB-0101800201012-1985.pdf
10.1193/1.1585305,STDB-0101800201013-1985.pdf
10.1193/1.1585303,STDB-0101800201014-1985.pdf
10.1193/1.1585395,STDB-0101800202001-1986.pdf
10.1193/1.1585394,STDB-0101800202002-1986.pdf
10.1193/1.1585392,STDB-0101800202003-1986.pdf
10.1193/1.1585389,STDB-0101800202004-1986.pdf
10.1193/1.1585380,STDB-0101800202005-1986.pdf
10.1193/1.1585388,STDB-0101800202006-1986.pdf
10.1193/1.1585311,STDB-0101800202007-1986.pdf
10.1193/1.1585390,STDB-0101800202008-1986.pdf
10.1193/1.1585387,STDB-0101800202009-1986.pdf
10.1193/1.1585391,STDB-0101800202010-1986.pdf
10.1193/1.1585313,STDB-0101800202011-1986.pdf
10.1193/1.1585393,STDB-0101800202012-1986.pdf
10.1193/1.1585396,STDB-0101800203001-1986.pdf
10.1193/1.1585405,STDB-0101800203002-1986.pdf
10.1193/1.1585402,STDB-0101800203003-1986.pdf
10.1193/1.1585399,STDB-0101800203004-1986.pdf
10.1193/1.1585397,STDB-0101800203005-1986.pdf
10.1193/1.1585401,STDB-0101800203006-1986.pdf
10.1193/1.1585400,STDB-0101800203007-1986.pdf
10.1193/1.1585398,STDB-0101800203008-1986.pdf
10.1193/1.1585404,STDB-0101800203009-1986.pdf
10.1193/1.1585403,STDB-0101800203010-1986.pdf
10.1193/1.1585412,STDB-0101800204001-1986.pdf
10.1193/1.1585408,STDB-0101800204002-1986.pdf
10.1193/1.1585409,STDB-0101800204003-1986.pdf
10.1193/1.1585411,STDB-0101800204004-1986.pdf
10.1193/1.1585407,STDB-0101800204005-1986.pdf
10.1193/1.1585413,STDB-0101800204006-1986.pdf
10.1193/1.1585410,STDB-0101800204007-1986.pdf
10.1193/1.1585406,STDB-0101800204008-1986.pdf
10.1193/1.1585414,STDB-0101800204009-1986.pdf
10.1193/1.1585419,STDB-0101800301001-1987.pdf
10.1193/1.1585421,STDB-0101800301002-1987.pdf
10.1193/1.1585422,STDB-0101800301003-1987.pdf
10.1193/1.1585417,STDB-0101800301004-1987.pdf
10.1193/1.1585420,STDB-0101800301005-1987.pdf
10.1193/1.1585424,STDB-0101800301006-1987.pdf
10.1193/1.1585416,STDB-0101800301007-1987.pdf
10.1193/1.1585418,STDB-0101800301008-1987.pdf
10.1193/1.1585425,STDB-0101800301009-1987.pdf
10.1193/1.1585426,STDB-0101800301010-1987.pdf
10.1193/1.1585423,STDB-0101800301011-1987.pdf
10.1193/1.1585428,STDB-0101800302001-1987.pdf
10.1193/1.1585434,STDB-0101800302002-1987.pdf
10.1193/1.1585431,STDB-0101800302003-1987.pdf
10.1193/1.1585433,STDB-0101800302004-1987.pdf
10.1193/1.1585432,STDB-0101800302005-1987.pdf
