doi,filename
10.1023/A:1024847709545,STDB-0101400101001-2003.pdf
10.1023/A:1024853326383,STDB-0101400101002-2003.pdf
10.1023/A:1024805410454,STDB-0101400101003-2003.pdf
10.1023/A:1024857427292,STDB-0101400101004-2003.pdf
10.1023/A:1024809511362,STDB-0101400101005-2003.pdf
10.1023/A:1024861528201,STDB-0101400101006-2003.pdf
10.1023/A:1024813612271,STDB-0101400101007-2003.pdf
10.1023/A:1026323123154,STDB-0101400102001-2003.pdf
10.1023/A:1026380608133,STDB-0101400102002-2003.pdf
10.1023/A:1026336809041,STDB-0101400102003-2003.pdf
10.1023/A:1026340911767,STDB-0101400102004-2003.pdf
10.1023/A:1026353312676,STDB-0101400102005-2003.pdf
10.1023/B:BEEE.0000021424.14259.9d,STDB-0101400103001-2003.pdf
10.1023/B:BEEE.0000021425.85961.f7,STDB-0101400103002-2003.pdf
10.1023/B:BEEE.0000021426.31223.60,STDB-0101400103003-2003.pdf
10.1023/B:BEEE.0000021512.74990.45,STDB-0101400103004-2003.pdf
10.1023/B:BEEE.0000021501.23388.20,STDB-0101400103005-2003.pdf
10.1023/B:BEEE.0000021499.92962.5a,STDB-0101400103006-2003.pdf
10.1023/B:BEEE.0000021502.63086.67,STDB-0101400103007-2003.pdf
10.1023/B:BEEE.0000021500.96533.0d,STDB-0101400103008-2003.pdf
10.1023/B:BEEE.0000038948.95616.bf,STDB-0101400201001-2004.pdf
10.1023/B:BEEE.0000038949.91495.91,STDB-0101400201002-2004.pdf
10.1023/B:BEEE.0000039046.42398.9d,STDB-0101400201003-2004.pdf
10.1023/B:BEEE.0000038950.95341.74,STDB-0101400201004-2004.pdf
10.1023/B:BEEE.0000039047.77494.c7,STDB-0101400201005-2004.pdf
10.1023/B:BEEE.0000039051.53112.d9,STDB-0101400201006-2004.pdf
10.1007/s10518-004-2286-4,STDB-0101400202001-2004.pdf
10.1007/s10518-004-2285-5,STDB-0101400202002-2004.pdf
10.1007/s10518-004-2290-8,STDB-0101400202003-2004.pdf
10.1007/s10518-004-2288-2,STDB-0101400202004-2004.pdf
10.1007/s10518-004-2289-1,STDB-0101400202005-2004.pdf
10.1007/s10518-004-2287-3,STDB-0101400202006-2004.pdf
10.1007/s10518-004-3799-6,STDB-0101400203001-2004.pdf
10.1007/s10518-004-3803-1,STDB-0101400203002-2004.pdf
10.1007/s10518-004-3804-0,STDB-0101400203003-2004.pdf
10.1007/s10518-004-3806-y,STDB-0101400203004-2004.pdf
10.1007/s10518-005-0183-0,STDB-0101400301001-2005.pdf
10.1007/s10518-005-0186-x,STDB-0101400301002-2005.pdf
10.1007/s10518-005-0187-9,STDB-0101400301003-2005.pdf
10.1007/s10518-005-0202-1,STDB-0101400301004-2005.pdf
10.1007/s10518-005-0203-0,STDB-0101400301005-2005.pdf
10.1007/s10518-005-1240-4,STDB-0101400302001-2005.pdf
10.1007/s10518-005-1241-3,STDB-0101400302002-2005.pdf
