doi,filename
10.1007/s11803-002-0001-5,STDB-0101200101001-2002.pdf
10.1007/s11803-002-0002-4,STDB-0101200101002-2002.pdf
10.1007/s11803-002-0003-3,STDB-0101200101003-2002.pdf
10.1007/s11803-002-0004-2,STDB-0101200101004-2002.pdf
10.1007/s11803-002-0005-1,STDB-0101200101005-2002.pdf
10.1007/s11803-002-0006-0,STDB-0101200101006-2002.pdf
10.1007/s11803-002-0007-z,STDB-0101200101007-2002.pdf
10.1007/s11803-002-0008-y,STDB-0101200101008-2002.pdf
10.1007/s11803-002-0009-x,STDB-0101200101009-2002.pdf
10.1007/s11803-002-0010-4,STDB-0101200101010-2002.pdf
10.1007/s11803-002-0011-3,STDB-0101200101011-2002.pdf
10.1007/s11803-002-0012-2,STDB-0101200101012-2002.pdf
10.1007/s11803-002-0013-1,STDB-0101200101013-2002.pdf
10.1007/s11803-002-0014-0,STDB-0101200101014-2002.pdf
10.1007/s11803-002-0015-z,STDB-0101200101015-2002.pdf
10.1007/s11803-002-0016-y,STDB-0101200101016-2002.pdf
10.1007/s11803-002-0017-x,STDB-0101200101017-2002.pdf
10.1007/s11803-002-0018-9,STDB-0101200101018-2002.pdf
10.1007/s11803-002-0019-8,STDB-0101200101019-2002.pdf
10.1007/s11803-002-0062-5,STDB-0101200102001-2002.pdf
10.1007/s11803-002-0063-4,STDB-0101200102002-2002.pdf
10.1007/s11803-002-0064-3,STDB-0101200102003-2002.pdf
10.1007/s11803-002-0065-2,STDB-0101200102004-2002.pdf
10.1007/s11803-002-0066-1,STDB-0101200102005-2002.pdf
10.1007/s11803-002-0067-0,STDB-0101200102006-2002.pdf
10.1007/s11803-002-0068-z,STDB-0101200102007-2002.pdf
10.1007/s11803-002-0069-y,STDB-0101200102008-2002.pdf
10.1007/s11803-002-0070-5,STDB-0101200102009-2002.pdf
10.1007/s11803-002-0071-4,STDB-0101200102010-2002.pdf
10.1007/s11803-002-0072-3,STDB-0101200102011-2002.pdf
10.1007/s11803-002-0073-2,STDB-0101200102012-2002.pdf
10.1007/s11803-002-0074-1,STDB-0101200102013-2002.pdf
10.1007/s11803-002-0075-0,STDB-0101200102014-2002.pdf
10.1007/BF02857534,STDB-0101200201001-2003.pdf
10.1007/BF02857535,STDB-0101200201002-2003.pdf
10.1007/BF02857536,STDB-0101200201003-2003.pdf
10.1007/BF02857537,STDB-0101200201004-2003.pdf
10.1007/BF02857538,STDB-0101200201005-2003.pdf
10.1007/BF02857539,STDB-0101200201006-2003.pdf
10.1007/BF02857540,STDB-0101200201007-2003.pdf
10.1007/BF02857541,STDB-0101200201008-2003.pdf
10.1007/BF02857542,STDB-0101200201009-2003.pdf
10.1007/BF02857543,STDB-0101200201010-2003.pdf
10.1007/BF02857544,STDB-0101200201011-2003.pdf
10.1007/BF02857545,STDB-0101200201012-2003.pdf
10.1007/BF02857546,STDB-0101200201013-2003.pdf
10.1007/BF02857547,STDB-0101200201014-2003.pdf
10.1007/BF02857548,STDB-0101200201015-2003.pdf
10.1007/BF02857549,STDB-0101200201016-2003.pdf
10.1007/BF02857550,STDB-0101200201017-2003.pdf
10.1007/BF02857551,STDB-0101200201018-2003.pdf
10.1007/s11803-003-0001-0,STDB-0101200202001-2003.pdf
10.1007/s11803-003-0002-z,STDB-0101200202002-2003.pdf
10.1007/s11803-003-0003-y,STDB-0101200202003-2003.pdf
10.1007/s11803-003-0004-x,STDB-0101200202004-2003.pdf
10.1007/s11803-003-0005-9,STDB-0101200202005-2003.pdf
10.1007/s11803-003-0006-8,STDB-0101200202006-2003.pdf
10.1007/s11803-003-0007-7,STDB-0101200202007-2003.pdf
10.1007/s11803-003-0008-6,STDB-0101200202008-2003.pdf
10.1007/s11803-003-0009-5,STDB-0101200202009-2003.pdf
10.1007/s11803-003-0010-z,STDB-0101200202010-2003.pdf
10.1007/s11803-003-0011-y,STDB-0101200202011-2003.pdf
10.1007/s11803-003-0012-x,STDB-0101200202012-2003.pdf
10.1007/s11803-003-0013-9,STDB-0101200202013-2003.pdf
10.1007/s11803-003-0014-8,STDB-0101200202014-2003.pdf
10.1007/s11803-003-0015-7,STDB-0101200202015-2003.pdf
10.1007/BF02668845,STDB-0101200301001-2004.pdf
10.1007/BF02668846,STDB-0101200301002-2004.pdf
10.1007/BF02668847,STDB-0101200301003-2004.pdf
10.1007/BF02668848,STDB-0101200301004-2004.pdf
10.1007/BF02668849,STDB-0101200301005-2004.pdf
10.1007/BF02668850,STDB-0101200301006-2004.pdf
10.1007/BF02668851,STDB-0101200301007-2004.pdf
10.1007/BF02668852,STDB-0101200301008-2004.pdf
10.1007/BF02668853,STDB-0101200301009-2004.pdf
10.1007/BF02668854,STDB-0101200301010-2004.pdf
10.1007/BF02668855,STDB-0101200301011-2004.pdf
10.1007/BF02668856,STDB-0101200301012-2004.pdf
10.1007/BF02668857,STDB-0101200301013-2004.pdf
10.1007/BF02668858,STDB-0101200301014-2004.pdf
10.1007/BF02668859,STDB-0101200301015-2004.pdf
10.1007/BF02668860,STDB-0101200301016-2004.pdf
10.1007/BF02858228,STDB-0101200302001-2004.pdf
10.1007/BF02858229,STDB-0101200302002-2004.pdf
10.1007/BF02858230,STDB-0101200302003-2004.pdf
10.1007/BF02858231,STDB-0101200302004-2004.pdf
10.1007/BF02858232,STDB-0101200302005-2004.pdf
10.1007/BF02858233,STDB-0101200302006-2004.pdf
10.1007/BF02858234,STDB-0101200302007-2004.pdf
10.1007/BF02858235,STDB-0101200302008-2004.pdf
10.1007/BF02858236,STDB-0101200302009-2004.pdf
10.1007/BF02858237,STDB-0101200302010-2004.pdf
10.1007/BF02858238,STDB-0101200302011-2004.pdf
10.1007/BF02858239,STDB-0101200302012-2004.pdf
10.1007/BF02858240,STDB-0101200302013-2004.pdf
10.1007/BF02858241,STDB-0101200302014-2004.pdf
10.1007/BF02858242,STDB-0101200302015-2004.pdf
10.1007/BF02858243,STDB-0101200302016-2004.pdf
10.1007/BF02858244,STDB-0101200302017-2004.pdf
10.1007/BF02858245,STDB-0101200302018-2004.pdf
10.1007/s11803-005-0017-8,STDB-0101200401001-2005.pdf
10.1007/s11803-005-0018-7,STDB-0101200401002-2005.pdf
10.1007/s11803-005-0019-6,STDB-0101200401003-2005.pdf
10.1007/s11803-005-0020-0,STDB-0101200401004-2005.pdf
10.1007/s11803-005-0021-z,STDB-0101200401005-2005.pdf
10.1007/s11803-005-0022-y,STDB-0101200401006-2005.pdf
10.1007/s11803-005-0023-x,STDB-0101200401007-2005.pdf
10.1007/s11803-005-0024-9,STDB-0101200401008-2005.pdf
10.1007/s11803-005-0025-8,STDB-0101200401009-2005.pdf
10.1007/s11803-005-0026-7,STDB-0101200401010-2005.pdf
10.1007/s11803-005-0027-6,STDB-0101200401011-2005.pdf
10.1007/s11803-005-0028-5,STDB-0101200401012-2005.pdf
10.1007/s11803-005-0029-4,STDB-0101200401013-2005.pdf
10.1007/s11803-005-0030-y,STDB-0101200401014-2005.pdf
10.1007/s11803-005-0031-x,STDB-0101200401015-2005.pdf
10.1007/s11803-005-0032-9,STDB-0101200401016-2005.pdf
10.1007/s11803-005-0033-8,STDB-0101200401017-2005.pdf
10.1007/s11803-005-0034-7,STDB-0101200401018-2005.pdf
10.1007/s11803-005-0035-6,STDB-0101200401019-2005.pdf
10.1007/s11803-005-0001-3,STDB-0101200402001-2005.pdf
10.1007/s11803-005-0002-2,STDB-0101200402002-2005.pdf
10.1007/s11803-005-0003-1,STDB-0101200402003-2005.pdf
10.1007/s11803-005-0004-0,STDB-0101200402004-2005.pdf
10.1007/s11803-005-0005-z,STDB-0101200402005-2005.pdf
10.1007/s11803-005-0006-y,STDB-0101200402006-2005.pdf
10.1007/s11803-005-0007-x,STDB-0101200402007-2005.pdf
10.1007/s11803-005-0008-9,STDB-0101200402008-2005.pdf
10.1007/s11803-005-0009-8,STDB-0101200402009-2005.pdf
10.1007/s11803-005-0010-2,STDB-0101200402010-2005.pdf
10.1007/s11803-005-0011-1,STDB-0101200402011-2005.pdf
10.1007/s11803-005-0012-0,STDB-0101200402012-2005.pdf
10.1007/s11803-005-0013-z,STDB-0101200402013-2005.pdf
10.1007/s11803-005-0014-y,STDB-0101200402014-2005.pdf
10.1007/s11803-005-0015-x,STDB-0101200402015-2005.pdf
10.1007/s11803-005-0016-9,STDB-0101200402016-2005.pdf
10.1007/s11803-006-0575-4,STDB-0101200501001-2006.pdf
10.1007/s11803-006-0528-y,STDB-0101200501002-2006.pdf
10.1007/s11803-006-0538-9,STDB-0101200501003-2006.pdf
10.1007/s11803-006-0484-6,STDB-0101200501004-2006.pdf
10.1007/s11803-006-0625-y,STDB-0101200501005-2006.pdf
10.1007/s11803-006-0604-3,STDB-0101200501006-2006.pdf
10.1007/s11803-006-0606-1,STDB-0101200501007-2006.pdf
10.1007/s11803-006-0628-8,STDB-0101200501008-2006.pdf
10.1007/s11803-006-0613-2,STDB-0101200501009-2006.pdf
10.1007/s11803-006-0588-z,STDB-0101200501010-2006.pdf
10.1007/s11803-006-0585-2,STDB-0101200501011-2006.pdf
10.1007/s11803-006-0602-5,STDB-0101200501012-2006.pdf
10.1007/s11803-006-0603-4,STDB-0101200501013-2006.pdf
10.1007/s11803-006-0631-0,STDB-0101200501014-2006.pdf
10.1007/s11803-006-0605-2,STDB-0101200501015-2006.pdf
10.1007/s11803-006-0472-x,STDB-0101200501016-2006.pdf
10.1007/s11803-006-0626-x,STDB-0101200501017-2006.pdf
10.1007/s11803-006-0636-8,STDB-0101200502001-2006.pdf
10.1007/s11803-006-0610-5,STDB-0101200502002-2006.pdf
10.1007/s11803-006-0580-7,STDB-0101200502003-2006.pdf
10.1007/s11803-006-0586-1,STDB-0101200502004-2006.pdf
10.1007/s11803-006-0543-z,STDB-0101200502005-2006.pdf
10.1007/s11803-006-0657-3,STDB-0101200502006-2006.pdf
10.1007/s11803-006-0642-x,STDB-0101200502007-2006.pdf
10.1007/s11803-006-0643-9,STDB-0101200502008-2006.pdf
10.1007/s11803-006-0639-5,STDB-0101200502009-2006.pdf
10.1007/s11803-006-0587-0,STDB-0101200502010-2006.pdf
10.1007/s11803-006-0637-7,STDB-0101200502011-2006.pdf
10.1007/s11803-006-0591-4,STDB-0101200502012-2006.pdf
10.1007/s11803-006-0622-1,STDB-0101200502013-2006.pdf
10.1007/s11803-006-0620-3,STDB-0101200502014-2006.pdf
10.1007/s11803-006-0612-3,STDB-0101200502015-2006.pdf
10.1007/s11803-007-0702-x,STDB-0101200601001-2007.pdf
10.1007/s11803-007-0701-y,STDB-0101200601002-2007.pdf
