doi,filename
10.1007/BF03249475,STDB-0101300901001-2009.pdf
10.1007/BF03249476,STDB-0101300901002-2009.pdf
10.1007/BF03249477,STDB-0101300901003-2009.pdf
10.1007/BF03249478,STDB-0101300901004-2009.pdf
10.1007/BF03249479,STDB-0101300901005-2009.pdf
10.1007/BF03249480,STDB-0101300901006-2009.pdf
10.1007/BF03249481,STDB-0101300901007-2009.pdf
10.1007/BF03249482,STDB-0101300901008-2009.pdf
10.1007/BF03249483,STDB-0101300901009-2009.pdf
10.1007/BF03249484,STDB-0101300902001-2009.pdf
10.1007/BF03249485,STDB-0101300902002-2009.pdf
10.1007/BF03249486,STDB-0101300902003-2009.pdf
10.1007/BF03249487,STDB-0101300902004-2009.pdf
10.1007/BF03249488,STDB-0101300902005-2009.pdf
10.1007/BF03249489,STDB-0101300902006-2009.pdf
10.1007/BF03249490,STDB-0101300902007-2009.pdf
10.1007/BF03249491,STDB-0101300902008-2009.pdf
10.1007/BF03249492,STDB-0101300903001-2009.pdf
10.1007/BF03249493,STDB-0101300903002-2009.pdf
10.1007/BF03249494,STDB-0101300903003-2009.pdf
10.1007/BF03249495,STDB-0101300903004-2009.pdf
10.1007/BF03249496,STDB-0101300903005-2009.pdf
10.1007/BF03249497,STDB-0101300903006-2009.pdf
10.1007/BF03249498,STDB-0101300903007-2009.pdf
10.1007/BF03249499,STDB-0101300903008-2009.pdf
10.1007/BF03249500,STDB-0101300904001-2009.pdf
10.1007/BF03249501,STDB-0101300904002-2009.pdf
10.1007/BF03249502,STDB-0101300904003-2009.pdf
10.1007/BF03249503,STDB-0101300904004-2009.pdf
10.1007/BF03249504,STDB-0101300904005-2009.pdf
10.1007/BF03249505,STDB-0101300904006-2009.pdf
10.1007/BF03249506,STDB-0101300904007-2009.pdf
10.1007/BF03249507,STDB-0101300904008-2009.pdf
10.1007/BF03249508,STDB-0101301001001-2010.pdf
10.1007/BF03249509,STDB-0101301001002-2010.pdf
10.1007/BF03249510,STDB-0101301001003-2010.pdf
10.1007/BF03249511,STDB-0101301001004-2010.pdf
10.1007/BF03249512,STDB-0101301001005-2010.pdf
10.1007/BF03249513,STDB-0101301001006-2010.pdf
10.1007/BF03249514,STDB-0101301001007-2010.pdf
10.1007/BF03249515,STDB-0101301001008-2010.pdf
10.1007/BF03249516,STDB-0101301001009-2010.pdf
10.1007/BF03215824,STDB-0101301002001-2010.pdf
10.1007/BF03215825,STDB-0101301002002-2010.pdf
10.1007/BF03215826,STDB-0101301002003-2010.pdf
10.1007/BF03215827,STDB-0101301002004-2010.pdf
10.1007/BF03215828,STDB-0101301002005-2010.pdf
10.1007/BF03215829,STDB-0101301002006-2010.pdf
10.1007/BF03215830,STDB-0101301002007-2010.pdf
10.1007/BF03215831,STDB-0101301003001-2010.pdf
10.1007/BF03215832,STDB-0101301003002-2010.pdf
10.1007/BF03215833,STDB-0101301003003-2010.pdf
10.1007/BF03215834,STDB-0101301003004-2010.pdf
10.1007/BF03215835,STDB-0101301003005-2010.pdf
10.1007/BF03215836,STDB-0101301003006-2010.pdf
10.1007/BF03215837,STDB-0101301003007-2010.pdf
10.1007/BF03215838,STDB-0101301003008-2010.pdf
