doi,filename
10.1061/JSDEAG.0000003,STDB-0100108201001-1956.pdf
10.1061/JSDEAG.0000002,STDB-0100108201002-1956.pdf
10.1061/JSDEAG.0000007,STDB-0100108201003-1956.pdf
10.1061/JSDEAG.0000008,STDB-0100108201004-1956.pdf
10.1061/JSDEAG.0000009,STDB-0100108201005-1956.pdf
10.1061/JSDEAG.0000001,STDB-0100108201006-1956.pdf
10.1061/JSDEAG.0000004,STDB-0100108201007-1956.pdf
10.1061/JSDEAG.0000005,STDB-0100108201008-1956.pdf
10.1061/JSDEAG.0000006,STDB-0100108201009-1956.pdf
10.1061/JSDEAG.0000012,STDB-0100108202001-1956.pdf
10.1061/JSDEAG.0000019,STDB-0100108202002-1956.pdf
10.1061/JSDEAG.0000011,STDB-0100108202003-1956.pdf
10.1061/JSDEAG.0000014,STDB-0100108202004-1956.pdf
10.1061/JSDEAG.0000013,STDB-0100108202005-1956.pdf
10.1061/JSDEAG.0000017,STDB-0100108202006-1956.pdf
10.1061/JSDEAG.0000015,STDB-0100108202007-1956.pdf
10.1061/JSDEAG.0000023,STDB-0100108202008-1956.pdf
10.1061/JSDEAG.0000025,STDB-0100108202009-1956.pdf
10.1061/JSDEAG.0000026,STDB-0100108202010-1956.pdf
10.1061/JSDEAG.0000010,STDB-0100108202011-1956.pdf
10.1061/JSDEAG.0000016,STDB-0100108202012-1956.pdf
10.1061/JSDEAG.0000018,STDB-0100108202013-1956.pdf
10.1061/JSDEAG.0000020,STDB-0100108202014-1956.pdf
10.1061/JSDEAG.0000021,STDB-0100108202015-1956.pdf
10.1061/JSDEAG.0000022,STDB-0100108202016-1956.pdf
10.1061/JSDEAG.0000024,STDB-0100108202017-1956.pdf
10.1061/JSDEAG.0000032,STDB-0100108203001-1956.pdf
10.1061/JSDEAG.0000031,STDB-0100108203002-1956.pdf
10.1061/JSDEAG.0000034,STDB-0100108203003-1956.pdf
10.1061/JSDEAG.0000038,STDB-0100108203004-1956.pdf
10.1061/JSDEAG.0000041,STDB-0100108203005-1956.pdf
10.1061/JSDEAG.0000042,STDB-0100108203006-1956.pdf
10.1061/JSDEAG.0000027,STDB-0100108203007-1956.pdf
10.1061/JSDEAG.0000033,STDB-0100108203008-1956.pdf
10.1061/JSDEAG.0000035,STDB-0100108203009-1956.pdf
10.1061/JSDEAG.0000036,STDB-0100108203010-1956.pdf
10.1061/JSDEAG.0000037,STDB-0100108203011-1956.pdf
10.1061/JSDEAG.0000039,STDB-0100108203012-1956.pdf
10.1061/JSDEAG.0000040,STDB-0100108203013-1956.pdf
10.1061/JSDEAG.0000030,STDB-0100108203014-1956.pdf
10.1061/JSDEAG.0000028,STDB-0100108203015-1956.pdf
10.1061/JSDEAG.0000029,STDB-0100108203016-1956.pdf
10.1061/JSDEAG.0000047,STDB-0100108204001-1956.pdf
10.1061/JSDEAG.0000046,STDB-0100108204002-1956.pdf
10.1061/JSDEAG.0000045,STDB-0100108204003-1956.pdf
10.1061/JSDEAG.0000044,STDB-0100108204004-1956.pdf
10.1061/JSDEAG.0000048,STDB-0100108204005-1956.pdf
10.1061/JSDEAG.0000051,STDB-0100108204006-1956.pdf
10.1061/JSDEAG.0000052,STDB-0100108204007-1956.pdf
10.1061/JSDEAG.0000053,STDB-0100108204008-1956.pdf
10.1061/JSDEAG.0000043,STDB-0100108204009-1956.pdf
10.1061/JSDEAG.0000049,STDB-0100108204010-1956.pdf
10.1061/JSDEAG.0000050,STDB-0100108204011-1956.pdf
10.1061/JSDEAG.0000059,STDB-0100108205001-1956.pdf
10.1061/JSDEAG.0000057,STDB-0100108205002-1956.pdf
10.1061/JSDEAG.0000055,STDB-0100108205003-1956.pdf
10.1061/JSDEAG.0000058,STDB-0100108205004-1956.pdf
10.1061/JSDEAG.0000056,STDB-0100108205005-1956.pdf
10.1061/JSDEAG.0000061,STDB-0100108205006-1956.pdf
10.1061/JSDEAG.0000062,STDB-0100108205007-1956.pdf
10.1061/JSDEAG.0000054,STDB-0100108205008-1956.pdf
10.1061/JSDEAG.0000060,STDB-0100108205009-1956.pdf
10.1061/JSDEAG.0000064,STDB-0100108206001-1956.pdf
10.1061/JSDEAG.0000068,STDB-0100108206002-1956.pdf
10.1061/JSDEAG.0000070,STDB-0100108206003-1956.pdf
10.1061/JSDEAG.0000071,STDB-0100108206004-1956.pdf
10.1061/JSDEAG.0000066,STDB-0100108206005-1956.pdf
